mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9151799708687186,0.015051685578818417,244,1.0,5,0.8,0.1,-1,10,200,80,-1,10
0.9151793642735461,0.012367894238088793,245,1.0,5,0.8,0.1,20,10,150,31,-1,10
0.9151632834384531,0.015042888008898926,246,1.0,5,1.0,0.1,20,10,150,50,-1,20
0.9151512874358214,0.01319739414021031,247,1.0,10,1.0,0.2,20,5,200,50,-1,20
0.9151024163046166,0.012804390783127367,248,0.8,5,1.0,0.1,10,5,200,31,-1,10
0.9150772785361591,0.019707400578210715,249,1.0,5,1.0,0.2,-1,10,150,31,-1,10
0.9150686617069802,0.011983860257772547,250,1.0,5,1.0,0.2,20,5,200,50,-1,20
0.9150211696210093,0.014154547006042345,251,1.0,10,1.0,0.2,-1,10,200,50,-1,10
0.9149658391476716,0.01209070892361349,252,1.0,10,0.8,0.1,20,10,150,80,-1,10
0.9149020472399215,0.012759575645157896,253,1.0,10,0.8,0.1,-1,5,150,80,-1,10
0.914885745605018,0.015787732750627562,254,1.0,5,0.8,0.1,20,5,150,50,-1,10
0.9147724761189785,0.011198554129759562,255,1.0,10,1.0,0.2,-1,10,200,80,-1,10
0.914754995928641,0.013762998313454912,256,1.0,5,1.0,0.1,10,5,200,31,-1,10
0.9147214278204793,0.012827943785785202,257,1.0,5,1.0,0.1,-1,10,150,31,-1,20
0.9147008327320728,0.013108579579468517,258,0.8,10,1.0,0.1,20,10,150,80,-1,10
0.914625035108671,0.008025930129617435,259,1.0,5,1.0,0.1,10,5,200,80,-1,10
0.9146152505866556,0.011794468769119285,260,1.0,5,1.0,0.1,10,10,200,80,-1,20
0.914530523017843,0.012483707946080698,261,1.0,10,1.0,0.1,-1,10,150,50,-1,20
0.9144659940555642,0.014402323089966192,262,1.0,5,1.0,0.1,20,10,150,80,-1,20
0.9144604266640677,0.013542710610907064,263,1.0,5,0.8,0.1,-1,5,150,50,-1,10
0.9144551116623891,0.011430270001924396,264,1.0,10,1.0,0.2,-1,10,150,31,-1,10
0.9144548137884791,0.013898895475631888,265,0.8,10,0.8,0.1,-1,5,200,31,-1,10
0.9144298405050877,0.015660449547364157,266,1.0,5,0.8,0.1,20,5,150,31,-1,10
0.914379748852389,0.013517873305560509,267,1.0,10,0.8,0.2,10,10,150,80,-1,10
0.9143750095437065,0.014265120912971309,268,1.0,10,0.8,0.1,10,10,200,50,-1,10
0.9142872159754998,0.01636616851349104,269,0.8,5,1.0,0.1,10,5,200,50,-1,10
0.9142761959145382,0.014537508082618696,270,1.0,5,0.8,0.2,10,10,200,80,-1,20
0.9142761959145382,0.014537508082618696,270,1.0,10,0.8,0.2,10,10,200,80,-1,20
0.9141998215282714,0.014716743387916032,272,0.8,10,0.8,0.2,20,10,200,31,-1,10
0.9141080618953463,0.010086897875633716,273,0.8,5,1.0,0.1,-1,5,150,50,-1,10
0.9140792781535607,0.013831216060271946,274,0.8,10,1.0,0.1,-1,10,150,31,-1,10
0.9140341418694806,0.013714316917070887,275,1.0,10,1.0,0.2,20,10,200,50,-1,10
